Unnamed: 0,firstName,initials,lastName,affiliation,country,institute
16,,G,Valiakos,"Department of Microbiology and Parasitology, Faculty of Veterinary Medicine, University of Thessaly, Karditsa, Greece.",Greece,University of Thessaly
17,,V,Spyrou,"Department of Animal Production, Technological Education Institute of Thessaly, Larissa, Greece.",Greece,Technological Education Institute of Thessaly
18,,LV,Athanasiou,"Department of Medicine, Faculty of Veterinary Medicine, University of Thessaly, Karditsa, Greece.",Greece,University of Thessaly
19,,A,Rodi Burriel,"Department of Nursing, University of Peloponnesus, Sparti, Greece.",Greece,University of Peloponnesus
20,,C,Billinis,"Department of Microbiology and Parasitology, Faculty of Veterinary Medicine, University of Thessaly, Karditsa, Greece.",Greece,University of Thessaly
21,,M,Zalewska,"Institute of Microbiology, Faculty of Biology, University of Warsaw, Miecznikowa St. 1, Warsaw, Poland.",Poland,University of Warsaw
22,,E,Kawecka-Grochocka,"Department of Biotechnology and Nutrigenomics, Institute of Genetics and Animal Biotechnology PAS, Postępu 36A St., Jastrzębiec, Poland.",Poland,Institute of Genetics and Animal Biotechnology PAS
23,,D,Słoniewska,"Department of Biotechnology and Nutrigenomics, Institute of Genetics and Animal Biotechnology PAS, Postępu 36A St., Jastrzębiec, Poland.",Poland,Institute of Genetics and Animal Biotechnology PAS
24,,E,Kościuczuk,"Present address: Robert H. Lurie Comprehensive Cancer Center, Northwestern University, 675 N St Clair St 21st Fl, Chicago, IL60611, USA.",USA,Northwestern University
25,,S,Marczak,"Experimental Farm, Institute of Genetics and Animal Biotechnology PAS, Postępu 36A St., Jastrzębiec, Poland.",Poland,Institute of Genetics and Animal Biotechnology PAS
26,,W,Jarmuż,"Experimental Farm, Institute of Genetics and Animal Biotechnology PAS, Postępu 36A St., Jastrzębiec, Poland.",Poland,Institute of Genetics and Animal Biotechnology PAS
27,,L,Zwierzchowski,"Department of Molecular Biology, Institute of Genetics and Animal Biotechnology PAS, Postępu 36A St., Jastrzębiec, Poland.",Poland,Institute of Genetics and Animal Biotechnology PAS
28,,E,Bagnicka,"Department of Biotechnology and Nutrigenomics, Institute of Genetics and Animal Biotechnology PAS, Postępu 36A St., Jastrzębiec, Poland. e.bagnicka@igbzpan.pl.",Poland,Institute of Genetics and Animal Biotechnology PAS
29,,E,Kawecka-Grochocka,"Preclinical Sciences, Institute of Veterinary Medicine, Warsaw University of Life Sciences, 8 Ciszewskiego St., Warsaw, Poland.",Poland,Warsaw University of Life Sciences
30,,M,Zalewska,"Department of Applied Microbiology, Faculty of Biology, University of Warsaw, Institute of Microbiology, 1 Miecznikowa St., Warsaw, Poland.",Poland,University of Warsaw
31,,A,Kapusta,"Department of Biotechnology and Nutrigenomics, Institute of Genetics and Biotechnology, Polish Academy of Sciences, 36A Postepu St., Jastrzębiec, Poland.",Poland,Institute of Genetics and Biotechnology
32,,T,Ząbek,"Department of Animal Molecular Biology, The National Research Institute of Animal Production, 1 Krakowska St., Balice near Krakow, Poland.",Poland,The National Research Institute of Animal Production
33,,M,Rzewuska,"Preclinical Sciences, Institute of Veterinary Medicine, Warsaw University of Life Sciences, 8 Ciszewskiego St., Warsaw, Poland.",Poland,Warsaw University of Life Sciences
34,,S,Petrykowski,"Experimental Farm, Institute of Genetics and Animal Biotechnology, Polish Academy of Sciences, 36A Postepu St., Jastrzębiec, Poland.",Poland,Institute of Genetics and Animal Biotechnology
35,,E,Bagnicka,"Department of Biotechnology and Nutrigenomics, Institute of Genetics and Biotechnology, Polish Academy of Sciences, 36A Postepu St., Jastrzębiec, Poland.",Poland,Institute of Genetics and Biotechnology
36,,M,Zalewska,"Department of Bacterial Physiology, Institute of Microbiology, Faculty of Biology, University of Warsaw, Miecznikowa 1, 02-096 Warsaw, Poland.",Poland,University of Warsaw
37,,A,Kapusta,"Department of Biotechnology and Nutrigenomics, Institute of Genetics and Animal Biotechnology PAS, Postępu 36A, 05-552 Jastrzębiec, Poland.",Poland,Institute of Genetics and Animal Biotechnology PAS
38,,E,Kawecka-Grochocka,"Department of Biotechnology and Nutrigenomics, Institute of Genetics and Animal Biotechnology PAS, Postępu 36A, 05-552 Jastrzębiec, Poland.",Poland,Institute of Genetics and Animal Biotechnology PAS
39,,DM,Urbańska,"Department of Biotechnology and Nutrigenomics, Institute of Genetics and Animal Biotechnology PAS, Postępu 36A, 05-552 Jastrzębiec, Poland.",Poland,Institute of Genetics and Animal Biotechnology PAS
40,,M,Czopowicz,"Division of Veterinary Epidemiology and Economics, Institute of Veterinary Medicine, Warsaw University of Life Sciences-SGGW, Nowoursynowska 159c, 02-776 Warsaw, Poland.",Poland,Warsaw University of Life Sciences-SGGW
41,,J,Kaba,"Division of Veterinary Epidemiology and Economics, Institute of Veterinary Medicine, Warsaw University of Life Sciences-SGGW, Nowoursynowska 159c, 02-776 Warsaw, Poland.",Poland,Warsaw University of Life Sciences-SGGW
42,,P,Brzozowska,"Department of Biotechnology and Nutrigenomics, Institute of Genetics and Animal Biotechnology PAS, Postępu 36A, 05-552 Jastrzębiec, Poland.",Poland,Institute of Genetics and Animal Biotechnology PAS
43,,E,Bagnicka,"Department of Biotechnology and Nutrigenomics, Institute of Genetics and Animal Biotechnology PAS, Postępu 36A, 05-552 Jastrzębiec, Poland.",Poland,Institute of Genetics and Animal Biotechnology PAS
44,,WC,Lin,"Institute of Preventive Medicine, National Defense Medical Center, Taipei, Taiwan.",Taiwan,Institute of Preventive Medicine
45,,CP,Ptak,"NMR Facility, Roy J. and Lucille A. Carver College of Medicine, University of Iowa, Iowa City, IA, United States.",United States,University of Iowa
46,,CY,Chang,"Department of Veterinary Medicine, National Chung Hsing University, Taichung, Taiwan.",Taiwan,National Chung Hsing University
47,,MK,Ian,"Department of Veterinary Medicine, National Chung Hsing University, Taichung, Taiwan.",Taiwan,National Chung Hsing University
48,,MY,Chia,"Department of Veterinary Medicine, National Chung Hsing University, Taichung, Taiwan.",Taiwan,National Chung Hsing University
49,,TH,Chen,"Graduate Institute of Veterinary Pathobiology, National Chung Hsing University, Taichung, Taiwan.",Taiwan,National Chung Hsing University
50,,CJ,Kuo,"Department of Veterinary Medicine, National Chung Hsing University, Taichung, Taiwan.",Taiwan,National Chung Hsing University
51,,KG,Makowczenko,"Department of Animal Anatomy and Physiology, Faculty of Biology and Biotechnology, University of Warmia and Mazury in Olsztyn, Oczapowskiego 1A, 10-719 Olsztyn, Poland.",Poland,University of Warmia and Mazury in Olsztyn
52,,JP,Jastrzebski,"Department of Plant Physiology, Genetics and Biotechnology, Faculty of Biology and Biotechnology, University of Warmia and Mazury in Olsztyn, Oczapowskiego 1A, 10-719 Olsztyn, Poland.",Poland,University of Warmia and Mazury in Olsztyn
53,,L,Paukszto,"Department of Botany and Nature Protection, Faculty of Biology and Biotechnology, University of Warmia and Mazury in Olsztyn, Plac Lodzki 1, 10-719 Olsztyn, Poland.",Poland,University of Warmia and Mazury in Olsztyn
54,,K,Dobrzyn,"Department of Zoology, Faculty of Biology and Biotechnology, University of Warmia and Mazury in Olsztyn, Oczapowskiego 5, 10-719 Olsztyn, Poland.",Poland,University of Warmia and Mazury in Olsztyn
55,,M,Kiezun,"Department of Animal Anatomy and Physiology, Faculty of Biology and Biotechnology, University of Warmia and Mazury in Olsztyn, Oczapowskiego 1A, 10-719 Olsztyn, Poland.",Poland,University of Warmia and Mazury in Olsztyn
56,,N,Smolinska,"Department of Animal Anatomy and Physiology, Faculty of Biology and Biotechnology, University of Warmia and Mazury in Olsztyn, Oczapowskiego 1A, 10-719 Olsztyn, Poland.",Poland,University of Warmia and Mazury in Olsztyn
57,,T,Kaminski,"Department of Animal Anatomy and Physiology, Faculty of Biology and Biotechnology, University of Warmia and Mazury in Olsztyn, Oczapowskiego 1A, 10-719 Olsztyn, Poland.",Poland,University of Warmia and Mazury in Olsztyn
58,,JF,Borgio,"Department of Genetic Research, Institute for Research and Medical Consultations (IRMC), Imam Abdulrahman Bin Faisal University, Dammam 31441, Saudi Arabia.",Saudi Arabia,Imam Abdulrahman Bin Faisal University
59,,AS,Rasdan,"Department of Epidemic Diseases Research, Institute for Research and Medical Consultations (IRMC), Imam Abdulrahman Bin Faisal University, Dammam 31441, Saudi Arabia.",Saudi Arabia,Imam Abdulrahman Bin Faisal University
60,,B,Sonbol,"Department of Epidemic Diseases Research, Institute for Research and Medical Consultations (IRMC), Imam Abdulrahman Bin Faisal University, Dammam 31441, Saudi Arabia.",Saudi Arabia,Imam Abdulrahman Bin Faisal University
61,,G,Alhamid,"Department of Epidemic Diseases Research, Institute for Research and Medical Consultations (IRMC), Imam Abdulrahman Bin Faisal University, Dammam 31441, Saudi Arabia.",Saudi Arabia,Imam Abdulrahman Bin Faisal University
62,,NB,Almandil,"Department of Clinical Pharmacy Research, Institute for Research and Medical Consultations (IRMC), Imam Abdulrahman Bin Faisal University, Dammam 31441, Saudi Arabia.",Saudi Arabia,Imam Abdulrahman Bin Faisal University
63,,S,AbdulAzeez,"Department of Genetic Research, Institute for Research and Medical Consultations (IRMC), Imam Abdulrahman Bin Faisal University, Dammam 31441, Saudi Arabia.",Saudi Arabia,Imam Abdulrahman Bin Faisal University
64,,P,Saengsawang,"Akkhraratchakumari Veterinary College, Walailak University, Nakhon Si Thammarat 80161, Thailand.",Thailand,Walailak University
65,,S,Morand,"Faculty of Veterinary Technology, Kasetsart University, Bangkok 10900, Thailand.",Thailand,Kasetsart University
66,,M,Desquesnes,"Ecole Nationale Vétérinaire de Toulouse (ENVT), 31300 Toulouse, France.",France,Unparsed
67,,S,Yangtara,"Department of Companion Animal Clinical Science, Faculty of Veterinary Medicine, Kasetsart University, Bangkok 10900, Thailand.",Thailand,Kasetsart University
68,,T,Inpankaew,"Department of Parasitology, Faculty of Veterinary Medicine, Kasetsart University, Bangkok 10900, Thailand.",Thailand,Kasetsart University
69,,G,Celano,"Department of Soil, Plant and Food Sciences, University of Bari A. Moro, Valenzano, Italy.",Italy,University of Bari A. Moro
70,,M,Calasso,"Department of Soil, Plant and Food Sciences, University of Bari A. Moro, Valenzano, Italy.",Italy,University of Bari A. Moro
71,,G,Costantino,"Department of Veterinary Medicine, University of Bari A. Moro, Valenzano, Italy.",Italy,University of Bari A. Moro
72,,M,Vacca,"Department of Soil, Plant and Food Sciences, University of Bari A. Moro, Valenzano, Italy.",Italy,University of Bari A. Moro
73,,A,Ressa,"Department of Soil, Plant and Food Sciences, University of Bari A. Moro, Valenzano, Italy.",Italy,University of Bari A. Moro
74,,O,Nikoloudaki,"Faculty of Science and Technology, Libera Università di Bolzano, Bolzano, Italy.",Italy,Libera Università di Bolzano
75,,P,De Palo,"Department of Veterinary Medicine, University of Bari A. Moro, Valenzano, Italy.",Italy,University of Bari A. Moro
76,,FM,Calabrese,"Department of Soil, Plant and Food Sciences, University of Bari A. Moro, Valenzano, Italy.",Italy,University of Bari A. Moro
77,,M,Gobbetti,"Faculty of Science and Technology, Libera Università di Bolzano, Bolzano, Italy.",Italy,Libera Università di Bolzano
78,,M,De Angelis,"Department of Soil, Plant and Food Sciences, University of Bari A. Moro, Valenzano, Italy.",Italy,University of Bari A. Moro
79,,Y,Wang,"Jiangsu Co-Innovation Center for Prevention and Control of Important Animal Infectious Diseases and Zoonoses, Yangzhou University, Yangzhou 225009, China.",China,Yangzhou University
80,,T,Ren,"Jiangsu Co-Innovation Center for Prevention and Control of Important Animal Infectious Diseases and Zoonoses, Yangzhou University, Yangzhou 225009, China.",China,Yangzhou University
81,,H,Chen,"Jiangsu Co-Innovation Center for Prevention and Control of Important Animal Infectious Diseases and Zoonoses, Yangzhou University, Yangzhou 225009, China.",China,Yangzhou University
82,,K,Wang,"Jiangsu Co-Innovation Center for Prevention and Control of Important Animal Infectious Diseases and Zoonoses, Yangzhou University, Yangzhou 225009, China.",China,Yangzhou University
83,,Y,Zhang,"Jiangsu Co-Innovation Center for Prevention and Control of Important Animal Infectious Diseases and Zoonoses, Yangzhou University, Yangzhou 225009, China.",China,Yangzhou University
84,,L,Liu,"College of Veterinary Medicine, Gansu Agricultural University, Lanzhou 730070, China.",China,Gansu Agricultural University
85,,Y,Sun,"Jiangsu Co-Innovation Center for Prevention and Control of Important Animal Infectious Diseases and Zoonoses, Yangzhou University, Yangzhou 225009, China.",China,Yangzhou University
86,,Y,Wang,"Jiangsu Co-Innovation Center for Prevention and Control of Important Animal Infectious Diseases and Zoonoses, Yangzhou University, Yangzhou 225009, China.",China,Yangzhou University
87,,T,Ren,"Jiangsu Co-Innovation Center for Prevention and Control of Important Animal Infectious Diseases and Zoonoses, Yangzhou University, Yangzhou 225009, China.",China,Yangzhou University
88,,H,Chen,"Jiangsu Co-Innovation Center for Prevention and Control of Important Animal Infectious Diseases and Zoonoses, Yangzhou University, Yangzhou 225009, China.",China,Yangzhou University
89,,K,Wang,"Jiangsu Co-Innovation Center for Prevention and Control of Important Animal Infectious Diseases and Zoonoses, Yangzhou University, Yangzhou 225009, China.",China,Yangzhou University
90,,Y,Zhang,"Jiangsu Co-Innovation Center for Prevention and Control of Important Animal Infectious Diseases and Zoonoses, Yangzhou University, Yangzhou 225009, China.",China,Yangzhou University
91,,L,Liu,"College of Veterinary Medicine, Gansu Agricultural University, Lanzhou 730070, China.",China,Gansu Agricultural University
92,,Y,Sun,"Jiangsu Co-Innovation Center for Prevention and Control of Important Animal Infectious Diseases and Zoonoses, Yangzhou University, Yangzhou 225009, China.",China,Yangzhou University
93,,X,Wei,"College of Animal Science and Technology and College of Veterinary Medicine, Zhejiang Agriculture and Forestry University, Hangzhou, Zhejiang 311300, P. R. China.",,Zhejiang Agriculture and Forestry University
94,,D,Li,"College of Animal Science and Technology and College of Veterinary Medicine, Zhejiang Agriculture and Forestry University, Hangzhou, Zhejiang 311300, P. R. China.",,Zhejiang Agriculture and Forestry University
95,,C,Feng,"College of Animal Science and Technology and College of Veterinary Medicine, Zhejiang Agriculture and Forestry University, Hangzhou, Zhejiang 311300, P. R. China.",,Zhejiang Agriculture and Forestry University
96,,H,Mao,"College of Animal Science and Technology and College of Veterinary Medicine, Zhejiang Agriculture and Forestry University, Hangzhou, Zhejiang 311300, P. R. China.",,Zhejiang Agriculture and Forestry University
97,,J,Zhu,"College of Animal Science and Technology and College of Veterinary Medicine, Zhejiang Agriculture and Forestry University, Hangzhou, Zhejiang 311300, P. R. China.",,Zhejiang Agriculture and Forestry University
98,,Y,Cui,"College of Animal Science and Technology and College of Veterinary Medicine, Zhejiang Agriculture and Forestry University, Hangzhou, Zhejiang 311300, P. R. China.",,Zhejiang Agriculture and Forestry University
99,,J,Yang,"Zhejiang Province Animal Husbandry Technology Promotion and Breeding Livestock and Poultry Monitoring Station, Hangzhou, Zhejiang 310021, P. R. China.",,Unparsed
100,,H,Gao,"Zhejiang Province Animal Husbandry Technology Promotion and Breeding Livestock and Poultry Monitoring Station, Hangzhou, Zhejiang 310021, P. R. China.",,Unparsed
101,,C,Wang,"College of Animal Science and Technology and College of Veterinary Medicine, Zhejiang Agriculture and Forestry University, Hangzhou, Zhejiang 311300, P. R. China. Electronic address: wangcong992@163.com.",,Zhejiang Agriculture and Forestry University
102,,K,Inoue,"Graduate School of Life and Environmental Sciences, University of Tsukuba, Tsukuba, Ibaraki, 305-8572, Japan. inoue@rtc.riken.jp.",Japan,University of Tsukuba
103,,N,Ogonuki,"Bioresource Engineering Division, Bioresource Research Center, RIKEN, Tsukuba, Ibaraki, 305-0074, Japan.",Japan,RIKEN
104,,S,Kamimura,"Department of Basic Medical Sciences for Radiation Damages, National Institute of Radiological Sciences, National Institutes for Quantum and Radiological Science and Technology, Chiba, 263-8555, Japan.",Japan,National Institute of Radiological Sciences
105,,H,Inoue,"Department of Gene Function and Phenomics, National Institute of Genetics, Mishima, Shizuoka, 411-8540, Japan.",Japan,National Institute of Genetics
106,,S,Matoba,"Cooperative Division of Veterinary Sciences, Tokyo University of Agriculture and Technology, Fuchu, Tokyo, 183-8509, Japan.",Japan,Tokyo University of Agriculture and Technology
107,,M,Hirose,"Bioresource Engineering Division, Bioresource Research Center, RIKEN, Tsukuba, Ibaraki, 305-0074, Japan.",Japan,RIKEN
108,,A,Honda,"Institute of Laboratory Animals Graduate School of Medicine, Kyoto University, Kyoto, 606-8501, Japan.",Japan,Kyoto University
109,,K,Miura,"Bioresource Engineering Division, Bioresource Research Center, RIKEN, Tsukuba, Ibaraki, 305-0074, Japan.",Japan,RIKEN
110,,M,Hada,"Bioresource Engineering Division, Bioresource Research Center, RIKEN, Tsukuba, Ibaraki, 305-0074, Japan.",Japan,RIKEN
111,,A,Hasegawa,"Bioresource Engineering Division, Bioresource Research Center, RIKEN, Tsukuba, Ibaraki, 305-0074, Japan.",Japan,RIKEN
112,,N,Watanabe,"Graduate School of Life and Environmental Sciences, University of Tsukuba, Tsukuba, Ibaraki, 305-8572, Japan.",Japan,University of Tsukuba
113,,Y,Dodo,"Bioresource Engineering Division, Bioresource Research Center, RIKEN, Tsukuba, Ibaraki, 305-0074, Japan.",Japan,RIKEN
114,,K,Mochida,"Bioresource Engineering Division, Bioresource Research Center, RIKEN, Tsukuba, Ibaraki, 305-0074, Japan.",Japan,RIKEN
115,,A,Ogura,"The Center for Disease Biology and Integrative Medicine, Faculty of Medicine, University of Tokyo, Tokyo, 113-0033, Japan. ogura@rtc.riken.go.jp.",Japan,University of Tokyo
116,,A,Chopra,"Proteomics and Cell Biology Lab, Animal Biotechnology Center, National Dairy Research Institute, Karnal, India.",India,National Dairy Research Institute
117,,SA,Ali,"Proteomics and Cell Biology Lab, Animal Biotechnology Center, National Dairy Research Institute, Karnal, India.",India,National Dairy Research Institute
118,,S,Bathla,"Yale University School of Medicine, New Haven, CT, United States.",United States,Yale University School of Medicine
119,,P,Rawat,"Proteomics and Cell Biology Lab, Animal Biotechnology Center, National Dairy Research Institute, Karnal, India.",India,National Dairy Research Institute
120,,V,Vohra,"Animal Genetics and Breeding Division, National Dairy Research Institute, Karnal, India.",India,National Dairy Research Institute
121,,S,Kumar,"Proteomics and Cell Biology Lab, Animal Biotechnology Center, National Dairy Research Institute, Karnal, India.",India,National Dairy Research Institute
122,,AK,Mohanty,"Proteomics and Cell Biology Lab, Animal Biotechnology Center, National Dairy Research Institute, Karnal, India.",India,National Dairy Research Institute
123,,S,Steinbach,"Animal and Plant Health Agency, Weybridge, Surrey, UK.",UK,Unparsed
124,,S,Jalili-Firoozinezhad,"Department of Biological Engineering, Massachusetts Institute of Technology, Cambridge, MA, 02139, USA.",USA,Massachusetts Institute of Technology
125,,S,Srinivasan,"The Huck Institutes of Life Sciences, The Pennsylvania State University, University Park, PA, USA.",USA,The Pennsylvania State University
126,,MB,Melo,"Department of Biological Engineering, Massachusetts Institute of Technology, Cambridge, MA, 02139, USA.",USA,Massachusetts Institute of Technology
127,,S,Middleton,"Animal and Plant Health Agency, Weybridge, Surrey, UK.",UK,Unparsed
128,,T,Konold,"Pathology Department, Animal and Plant Health Agency, Weybridge, Surrey, UK.",UK,Unparsed
129,,M,Coad,"Animal and Plant Health Agency, Weybridge, Surrey, UK.",UK,Unparsed
130,,PT,Hammond,"Department of Chemical Engineering, Massachusetts Institute of Technology, Cambridge, MA, 02139, USA.",USA,Massachusetts Institute of Technology
131,,DJ,Irvine,"Howard Hughes Medical Institute, Chevy Chase, MD, 20815, USA. djirvine@mit.edu.",USA,Howard Hughes Medical Institute
132,,M,Vordermeier,"Centre for Bovine Tuberculosis, Institute for Biological, Environmental and Rural Sciences, University of Aberystwyth, Aberystwyth, UK. Martin.Vordermeier@apha.gov.uk.",UK,University of Aberystwyth
133,,V,Kapur,"The Huck Institutes of Life Sciences, The Pennsylvania State University, University Park, PA, USA. vkapur@psu.edu.",USA,The Pennsylvania State University
134,,SS,Chakrabarti,"1Department of Geriatric Medicine, Institute of Medical Sciences, Banaras Hindu University, Varanasi, UP, India.",India,Banaras Hindu University
135,,U,Kaur,"2Department of Pharmacology, All India Institute of Medical Sciences, Gorakhpur, UP, India.",India,All India Institute of Medical Sciences
136,,A,Banerjee,"3Department of Biochemistry, Institute of Post Graduate Medical Education and Research, Kolkata, West Bengal, India.",India,Institute of Post Graduate Medical Education and Research
137,,U,Ganguly,"3Department of Biochemistry, Institute of Post Graduate Medical Education and Research, Kolkata, West Bengal, India.",India,Institute of Post Graduate Medical Education and Research
138,,T,Banerjee,"4Department of Microbiology, Institute of Medical Sciences, Banaras Hindu University, UP, India.",India,Banaras Hindu University
139,,S,Saha,"5Department of Biochemistry, All India Institute of Medical Sciences, Rishikesh, Uttarakhand, India.",India,All India Institute of Medical Sciences
140,,G,Parashar,"6Department of Biotechnology, Maharishi Markandeshwar (deemed to be) University, Mullana, Haryana, India.",India,Maharishi Markandeshwar (deemed to be) University
141,,S,Prasad,"7Department of Biochemistry, MM Institute of Medical Sciences & Research, Maharishi Markandeshwar (deemed to be) University, Mullana, Haryana, India.",India,Maharishi Markandeshwar (deemed to be) University
142,,S,Chakrabarti,"8Health Department, Kolkata Municipal Corporation, West Bengal, India.",India,Unparsed
143,,A,Mittal,"9Department of Radiodiagnosis, MM Institute of Medical Sciences & Research, Maharishi Markandeshwar (deemed to be) University, Mullana, Haryana, India.",India,Maharishi Markandeshwar (deemed to be) University
144,,BK,Agrawal,"10Department of General Medicine, MM Institute of Medical Sciences & Research, Maharishi Markandeshwar (deemed to be) University, Mullana, Haryana, India.",India,Maharishi Markandeshwar (deemed to be) University
145,,RK,Rawal,"11Department of Chemistry, Maharishi Markandeshwar (deemed to be) University, Mullana, Haryana, India.",India,Maharishi Markandeshwar (deemed to be) University
146,,RC,Zhao,"12School of Life Sciences, Shanghai University, Shanghai, China.",China,Shanghai University
147,,IS,Gambhir,"13Department of Geriatric Medicine, Institute of Medical Sciences, Banaras Hindu University, Varanasi, UP, India.",India,Banaras Hindu University
148,,R,Khanna,"14Department of General Surgery, Institute of Medical Sciences, Banaras Hindu University, Varanasi, UP, India.",India,Banaras Hindu University
149,,AK,Shetty,"15Institute for Regenerative Medicine, Department of Molecular and Cellular Medicine, Texas A&M University College of Medicine, College Station, Texas, USA.",USA,Texas A&M University College of Medicine
150,,K,Jin,"16Department of Pharmacology and Neuroscience, University of North Texas Health Science Center, Fort Worth, Texas, USA.",USA,University of North Texas Health Science Center
151,,S,Chakrabarti,"17Department of Biochemistry and Central Research Cell, MM Institute of Medical Sciences & Research, Maharishi Markandeshwar (deemed to be) University, Mullana, Haryana, India.",India,Maharishi Markandeshwar (deemed to be) University
152,,M,Hao,"Beijing Institute of Biotechnology, Beijing 100071, China.",China,Beijing Institute of Biotechnology
153,,G,Zhang,"Beijing Institute of Biotechnology, Beijing 100071, China.",China,Beijing Institute of Biotechnology
154,,S,Zhang,"College of Wildlife and Protected Areas, Northeast Forestry University, Harbin 150040, China.",China,Northeast Forestry University
155,,Z,Chen,"Tianjin Institue of Envionmental and Operational Medicine, Key Laboratory of Risk Assessment and Control for Environment and Food Safety, Tianjin 300050, China.",China,Key Laboratory of Risk Assessment and Control for Environment and Food Safety
156,,X,Chi,"Beijing Institute of Biotechnology, Beijing 100071, China.",China,Beijing Institute of Biotechnology
157,,Y,Dong,"Beijing Institute of Biotechnology, Beijing 100071, China.",China,Beijing Institute of Biotechnology
158,,P,Fan,"Beijing Institute of Biotechnology, Beijing 100071, China.",China,Beijing Institute of Biotechnology
159,,Y,Liu,"Beijing Institute of Biotechnology, Beijing 100071, China.",China,Beijing Institute of Biotechnology
160,,Y,Chen,"Beijing Institute of Biotechnology, Beijing 100071, China.",China,Beijing Institute of Biotechnology
161,,X,Song,"Beijing Institute of Biotechnology, Beijing 100071, China.",China,Beijing Institute of Biotechnology
162,,S,Liu,"Beijing Institute of Biotechnology, Beijing 100071, China.",China,Beijing Institute of Biotechnology
163,,C,Yu,"Beijing Institute of Biotechnology, Beijing 100071, China.",China,Beijing Institute of Biotechnology
164,,J,Li,"Beijing Institute of Biotechnology, Beijing 100071, China.",China,Beijing Institute of Biotechnology
165,,X,Xia,"Changchun Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Changchun 130000, China.",China,Changchun Veterinary Research Institute
166,,D,Hao,"Department of Molecular Biology and Genetics, Aarhus University, 8000 Aarhus C, Denmark.",Denmark,Aarhus University
167,,X,Wang,"Department of Applied Mathematics and Computer Science, Technical University of Denmark, 2800 Kongens Lyngby, Denmark.",Denmark,Technical University of Denmark
168,,B,Thomsen,"Department of Molecular Biology and Genetics, Aarhus University, 8000 Aarhus C, Denmark.",Denmark,Aarhus University
169,,HN,Kadarmideen,"Department of Applied Mathematics and Computer Science, Technical University of Denmark, 2800 Kongens Lyngby, Denmark.",Denmark,Technical University of Denmark
