Unnamed: 0,firstName,initials,lastName,affiliation,country,institute
18,,B,Pucker,"Institute of Plant Biology & Braunschweig Integrated Centre of Systems Biology (BRICS), TU Braunschweig, Braunschweig, Germany.",Germany,Institute of Plant Biology & Braunschweig Integrated Centre of Systems Biology (BRICS)
19,,I,Irisarri,"Campus Institute Data Science (CIDAS), University of Goettingen, Göttingen, Germany.",Germany,University of Goettingen
20,,J,de Vries,"Department of Applied Bioinformatics, Göttingen Center for Molecular Biosciences (GZMB), University of Goettingen, Göttingen, Germany.",Germany,University of Goettingen
21,,B,Xu,"State Key Laboratory of Systematic and Evolutionary Botany, Institute of Botany, Chinese Academy of Sciences, Beijing, China.",China,Institute of Botany
22,,Y,Chen,"Guangdong Provincial Key Laboratory of Insect Developmental Biology and Applied Technology, School of Life Sciences, Institute of Insect Science and Technology, South China Normal University, Guangzhou, China.",China,South China Normal University
23,,H,Zhou,"Guangdong Provincial Key Laboratory of Insect Developmental Biology and Applied Technology, School of Life Sciences, Institute of Insect Science and Technology, South China Normal University, Guangzhou, China.",China,South China Normal University
24,,Y,Lai,"Guangdong Provincial Key Laboratory of Insect Developmental Biology and Applied Technology, School of Life Sciences, Institute of Insect Science and Technology, South China Normal University, Guangzhou, China.",China,South China Normal University
25,,Q,Chen,"Guangdong Provincial Key Laboratory of Insect Developmental Biology and Applied Technology, School of Life Sciences, Institute of Insect Science and Technology, South China Normal University, Guangzhou, China.",China,South China Normal University
26,,XQ,Yu,"Guangdong Provincial Key Laboratory of Insect Developmental Biology and Applied Technology, School of Life Sciences, Institute of Insect Science and Technology, South China Normal University, Guangzhou, China.",China,South China Normal University
27,,X,Wang,"Guangdong Provincial Key Laboratory of Insect Developmental Biology and Applied Technology, School of Life Sciences, Institute of Insect Science and Technology, South China Normal University, Guangzhou, China.",China,South China Normal University
28,,JW,Lu,"Fujian Provincial Key Laboratory of Biochemical Technology, Department of Bioengineering and Biotechnology, College of Chemical Engineering, Huaqiao University, Xiamen, China.",China,Huaqiao University
29,,L,Jin,"Fujian Provincial Key Laboratory of Biochemical Technology, Department of Bioengineering and Biotechnology, College of Chemical Engineering, Huaqiao University, Xiamen, China.",China,Huaqiao University
30,,MG,Li,"Guangdong Provincial Key Laboratory of Insect Developmental Biology and Applied Technology, Guangzhou Key Laboratory of Insect Development Regulation and Application Research, Institute of Insect Science and Technology, School of Life Sciences, South China Normal University, Guangzhou, China.",China,South China Normal University
31,,BQ,Yu,"International Department, The Affiliated High School of South China Normal University, Guangzhou, China.",China,The Affiliated High School of South China Normal University
32,,YF,Wen,"Fujian Provincial Key Laboratory of Biochemical Technology, Department of Bioengineering and Biotechnology, College of Chemical Engineering, Huaqiao University, Xiamen, China.",China,Huaqiao University
33,,YQ,Gu,"Fujian Provincial Key Laboratory of Biochemical Technology, Department of Bioengineering and Biotechnology, College of Chemical Engineering, Huaqiao University, Xiamen, China.",China,Huaqiao University
34,,Y,Lin,"Fujian Provincial Key Laboratory of Biochemical Technology, Department of Bioengineering and Biotechnology, College of Chemical Engineering, Huaqiao University, Xiamen, China.",China,Huaqiao University
35,,XQ,Yu,"Guangdong Provincial Key Laboratory of Insect Developmental Biology and Applied Technology, Guangzhou Key Laboratory of Insect Development Regulation and Application Research, Institute of Insect Science and Technology, School of Life Sciences, South China Normal University, Guangzhou, China.",China,South China Normal University
36,,I,Kakoulidou,"Department of Molecular Life Sciences, Technical University of Munich, Liesel-Beckmann-Str. 2, 85354 Freising, Germany.",Germany,Technical University of Munich
37,,EV,Avramidou,"Laboratory of Forest Genetics and Biotechnology, Institute of Mediterranean Forest Ecosystems, Hellenic Agricultural Organization-Dimitra (ELGO-DIMITRA), 11528 Athens, Greece.",Greece,Institute of Mediterranean Forest Ecosystems
38,,M,Baránek,"Faculty of Horticulture, Mendeleum-Institute of Genetics, Mendel University in Brno, Valtická 334, 69144 Lednice, Czech Republic.",Czech Republic,Mendel University in Brno
39,,S,Brunel-Muguet,"UMR 950 Ecophysiologie Végétale, Agronomie et Nutritions N, C, S, UNICAEN, INRAE, Normandie Université, CEDEX, F-14032 Caen, France.",France,Normandie Université
40,,S,Farrona,"Plant and AgriBiosciences Centre, Ryan Institute, National University of Ireland (NUI) Galway, H91 TK33 Galway, Ireland.",Ireland,National University of Ireland (NUI) Galway
41,,F,Johannes,"Institute for Advanced Study, Technical University of Munich, Lichtenberg Str. 2a, 85748 Garching, Germany.",Germany,Technical University of Munich
42,,E,Kaiserli,"Institute of Molecular, Cell and Systems Biology, College of Medical, Veterinary and Life Sciences, Bower Building, University of Glasgow, Glasgow G12 8QQ, UK.",UK,University of Glasgow
43,,M,Lieberman-Lazarovich,"Institute of Plant Sciences, Agricultural Research Organization, Volcani Center, Rishon LeZion 7505101, Israel.",Israel,Institute of Plant Sciences
44,,F,Martinelli,"Department of Biology, University of Florence, 50019 Sesto Fiorentino, Italy.",Italy,University of Florence
45,,V,Mladenov,"Faculty of Agriculture, University of Novi Sad, Sq. Dositeja Obradovića 8, 21000 Novi Sad, Serbia.",Serbia,University of Novi Sad
46,,PS,Testillano,"Pollen Biotechnology of Crop Plants Group, Centro de Investigaciones Biológicas Margarita Salas-(CIB-CSIC), Ramiro Maeztu 9, 28040 Madrid, Spain.",Spain,Unparsed
47,,V,Vassileva,"Department of Molecular Biology and Genetics, Institute of Plant Physiology and Genetics, Bulgarian Academy of Sciences, Acad. Georgi Bonchev Str., Bldg. 21, 1113 Sofia, Bulgaria.",Bulgaria,Institute of Plant Physiology and Genetics
48,,S,Maury,"Laboratoire de Biologie des Ligneux et des Grandes Cultures, INRAE, EA1207 USC1328, Université d'Orléans, F-45067 Orléans, France.",France,Université d'Orléans
49,,R,Han,"The Genome Center, University of California, Davis, 95616, USA.",USA,University of California
50,,D,Lavelle,"The Genome Center, University of California, Davis, 95616, USA.",USA,University of California
51,,MJ,Truco,"The Genome Center, University of California, Davis, 95616, USA.",USA,University of California
52,,R,Michelmore,"Department of Plant Sciences, University of California, Davis, 95616, USA. rwmichelmore@ucdavis.edu.",USA,University of California
53,,C,Anders,"Department of Plant Biotechnology and Bioinformatics, Ghent University, 9052 Ghent, Belgium; VIB Center for Plant Systems Biology, 9052 Ghent, Belgium.",Belgium,Ghent University
54,,L,Hoengenaert,"Department of Plant Biotechnology and Bioinformatics, Ghent University, 9052 Ghent, Belgium; VIB Center for Plant Systems Biology, 9052 Ghent, Belgium.",Belgium,Ghent University
55,,W,Boerjan,"Department of Plant Biotechnology and Bioinformatics, Ghent University, 9052 Ghent, Belgium; VIB Center for Plant Systems Biology, 9052 Ghent, Belgium. Electronic address: wout.boerjan@psb.vib-ugent.be.",Belgium,Ghent University
56,,X,Jin,"China School of Public Health, Qingdao University, Qingdao, 266071, People's Republic of China.",,Qingdao University
57,,H,Yu,"China School of Public Health, Qingdao University, Qingdao, 266071, People's Republic of China.",,Qingdao University
58,,B,Wang,"China School of Public Health, Qingdao University, Qingdao, 266071, People's Republic of China.",,Qingdao University
59,,Z,Sun,"School of Environment, Hangzhou Institute for Advanced Study, University of Chinese Academy of Sciences, Hangzhou, 310000, People's Republic of China.",,University of Chinese Academy of Sciences
60,,Z,Zhang,"China School of Public Health, Qingdao University, Qingdao, 266071, People's Republic of China.",,Qingdao University
61,,QS,Liu,"State Key Laboratory of Environmental Chemistry and Ecotoxicology, Research Center for Eco-Environmental Sciences, Chinese Academy of Sciences, Beijing, 100085, People's Republic of China.",,Chinese Academy of Sciences
62,,Y,Zheng,"China School of Public Health, Qingdao University, Qingdao, 266071, People's Republic of China.",,Qingdao University
63,,Q,Zhou,"Institute of Environment and Health, Jianghan University, Wuhan, 430056, People's Republic of China. zhouqf@rcees.ac.cn.",,Jianghan University
64,,G,Jiang,"College of Resources and Environment, University of Chinese Academy of Sciences, Beijing, 100049, People's Republic of China.",,University of Chinese Academy of Sciences
65,,MS,Mousavi Maleki,"Student Research Committee, Semnan University of Medical Sciences, Semnan, Iran.",Iran,Semnan University of Medical Sciences
66,,H,Aghamirza Moghim Ali Abadi,"Biotechnology Research Center, Pasteur Institute of Iran, Tehran, Iran.",Iran,Pasteur Institute of Iran
67,,B,Vaziri,"Biotechnology Research Center, Pasteur Institute of Iran, Tehran, Iran.",Iran,Pasteur Institute of Iran
68,,AA,Shabani,"Department of Medical Biotechnology, Faculty of Medicine, Semnan University of Medical Sciences, Semnan, Iran.",Iran,Semnan University of Medical Sciences
69,,G,Ghavami,"Drug Design and Bioinformatics Unit, Medical Biotechnology Department, Biotechnology Research Center, Pasteur Institute of Iran, 13198, Tehran, Iran.",Iran,Pasteur Institute of Iran
70,,H,Madanchi,"Drug Design and Bioinformatics Unit, Medical Biotechnology Department, Biotechnology Research Center, Pasteur Institute of Iran, 13198, Tehran, Iran. hamidmadanchi@yahoo.com.",Iran,Pasteur Institute of Iran
71,,S,Sardari,"Drug Design and Bioinformatics Unit, Medical Biotechnology Department, Biotechnology Research Center, Pasteur Institute of Iran, 13198, Tehran, Iran. ssardari@hotmail.com.",Iran,Pasteur Institute of Iran
72,,MS,Mousavi Maleki,"Gene Therapy and Regenerative Medicine Research Center, Hope Generation Foundation, University of Social Welfare and Rehabilitation Sciences, Tehran, Iran.",Iran,University of Social Welfare and Rehabilitation Sciences
73,,R,Ebrahimi Kiasari,"Drug Design and Bioinformatics Unit, Medical Biotechnology Department, Biotechnology Research Center, Pasteur Institute of Iran, Tehran, 13198, Iran.",Iran,Pasteur Institute of Iran
74,,SJ,Seyed Mousavi,"Drug Design and Bioinformatics Unit, Medical Biotechnology Department, Biotechnology Research Center, Pasteur Institute of Iran, Tehran, 13198, Iran.",Iran,Pasteur Institute of Iran
75,,H,Hashemi-Moghaddam,"Department of Chemistry, Damghan Branch, Islamic Azad University, Damghan, Iran.",Iran,Islamic Azad University
76,,AA,Shabani,"Department of Biotechnology, School of Medicine, Semnan University of Medical Sciences, Semnan, 35131-38111, Iran.",Iran,Semnan University of Medical Sciences
77,,H,Madanchi,"Drug Design and Bioinformatics Unit, Medical Biotechnology Department, Biotechnology Research Center, Pasteur Institute of Iran, Tehran, 13198, Iran. hamidmadanchi@yahoo.com.",Iran,Pasteur Institute of Iran
78,,S,Sardari,"Drug Design and Bioinformatics Unit, Medical Biotechnology Department, Biotechnology Research Center, Pasteur Institute of Iran, Tehran, 13198, Iran. ssardari@hotmail.com.",Iran,Pasteur Institute of Iran
79,,FL,de Figueiredo,"Department of Biochemistry and Tissue Biology, Institute of Biology, University of Campinas (UNICAMP), Campinas, SP, Brazil.",Brazil,University of Campinas (UNICAMP)
80,,ACP,de Oliveira,"Brazilian Biorenewables National Laboratory (LNBr), Brazilian Center for Research in Energy and Materials (CNPEM), Campinas, SP, Brazil.",Brazil,Brazilian Biorenewables National Laboratory (LNBr)
81,,CRF,Terrasan,"Department of Biochemistry and Tissue Biology, Institute of Biology, University of Campinas (UNICAMP), Campinas, SP, Brazil.",Brazil,University of Campinas (UNICAMP)
82,,TA,Gonçalves,"Department of Technological and Environmental Processes, University of Sorocaba (UNISO), Sorocaba, SP, Brazil.",Brazil,University of Sorocaba (UNISO)
83,,JA,Gerhardt,"Department of Biochemistry and Tissue Biology, Institute of Biology, University of Campinas (UNICAMP), Campinas, SP, Brazil.",Brazil,University of Campinas (UNICAMP)
84,,G,Tomazetto,"Department of Biological and Chemical Engineering (BCE), Aarhus University, 8200, Aarhus, Denmark.",Denmark,Aarhus University
85,,GF,Persinoti,"Brazilian Biorenewables National Laboratory (LNBr), Brazilian Center for Research in Energy and Materials (CNPEM), Campinas, SP, Brazil.",Brazil,Brazilian Biorenewables National Laboratory (LNBr)
86,,MV,Rubio,"Department of Biochemistry and Tissue Biology, Institute of Biology, University of Campinas (UNICAMP), Campinas, SP, Brazil.",Brazil,University of Campinas (UNICAMP)
87,,JAT,Peña,"Chemical Engineering School, University of Campinas (UNICAMP), Campinas, SP, Brazil.",Brazil,University of Campinas (UNICAMP)
88,,MF,Araújo,"Chemical Engineering School, University of Campinas (UNICAMP), Campinas, SP, Brazil.",Brazil,University of Campinas (UNICAMP)
89,,MA,de Carvalho Silvello,"Department of Food Engineering, Faculty of Food Engineering, University of Campinas (UNICAMP), Campinas, SP, Brazil.",Brazil,University of Campinas (UNICAMP)
90,,TT,Franco,"Interdisciplinary Center of Energy Planning (NIPE), University of Campinas (UNICAMP), Campinas, SP, Brazil.",Brazil,University of Campinas (UNICAMP)
91,,SC,Rabelo,"Department of Bioprocess and Biotechnology, College of Agricultural Sciences, São Paulo State University (UNESP), Botucatu, SP, Brazil.",Brazil,São Paulo State University (UNESP)
92,,R,Goldbeck,"Department of Food Engineering, Faculty of Food Engineering, University of Campinas (UNICAMP), Campinas, SP, Brazil.",Brazil,University of Campinas (UNICAMP)
93,,FM,Squina,"Department of Technological and Environmental Processes, University of Sorocaba (UNISO), Sorocaba, SP, Brazil. fabio.squina@gmail.com.",Brazil,University of Sorocaba (UNISO)
94,,A,Damasio,"São Paulo Fungal Group, São Paulo, Brazil. adamasio@unicamp.br.",Brazil,Unparsed
95,,B,Zhang,"Key Laboratory of Viral Heart Diseases, Chinese Academy of Medical Sciences, Shanghai, China.",China,Chinese Academy of Medical Sciences
96,,H,Jiang,"Key Laboratory of Viral Heart Diseases, Chinese Academy of Medical Sciences, Shanghai, China.",China,Chinese Academy of Medical Sciences
97,,J,Wu,"Institutes of Biomedical Sciences, Fudan University, Shanghai, China.",China,Fudan University
98,,Y,Cai,"Key Laboratory of Viral Heart Diseases, Chinese Academy of Medical Sciences, Shanghai, China.",China,Chinese Academy of Medical Sciences
99,,Z,Dong,"Key Laboratory of Viral Heart Diseases, Chinese Academy of Medical Sciences, Shanghai, China.",China,Chinese Academy of Medical Sciences
100,,Y,Zhao,"Key Laboratory of Viral Heart Diseases, Chinese Academy of Medical Sciences, Shanghai, China.",China,Chinese Academy of Medical Sciences
101,,Q,Hu,"Institutes of Biomedical Sciences, Fudan University, Shanghai, China.",China,Fudan University
102,,K,Hu,"Shanghai Institute of Cardiovascular Diseases, Shanghai, China.",China,Shanghai Institute of Cardiovascular Diseases
103,,A,Sun,"Institutes of Biomedical Sciences, Fudan University, Shanghai, China. sun.aijun@zs-hospital.sh.cn.",China,Fudan University
104,,J,Ge,"Institutes of Biomedical Sciences, Fudan University, Shanghai, China. jbge@zs-hospital.sh.cn.",China,Fudan University
105,,F,Wang,"State Key Laboratory of Cardiovascular Disease, Center of Laboratory Medicine, Fuwai Hospital, National Center for Cardiovascular Diseases, Chinese Academy of Medical Sciences and Peking Union Medical College, Beijing 100037, China.",China,Chinese Academy of Medical Sciences and Peking Union Medical College
106,,S,Liu,"Department of Gastroenterology, Beijing Friendship Hospital, Capital Medical University, National Clinical Research Center for Digestive Disease, Beijing Digestive Disease Center, Beijing Key Laboratory for Precancerous Lesion of Digestive Disease, Beijing, 100050, China.",China,Capital Medical University
107,,J,Pei,"State Key Laboratory of Cardiovascular Disease, Center of Laboratory Medicine, Fuwai Hospital, National Center for Cardiovascular Diseases, Chinese Academy of Medical Sciences and Peking Union Medical College, Beijing 100037, China.",China,Chinese Academy of Medical Sciences and Peking Union Medical College
108,,L,Cai,"State Key Laboratory of Cardiovascular Disease, Center of Laboratory Medicine, Fuwai Hospital, National Center for Cardiovascular Diseases, Chinese Academy of Medical Sciences and Peking Union Medical College, Beijing 100037, China.",China,Chinese Academy of Medical Sciences and Peking Union Medical College
109,,N,Liu,"Department of Cardiology, The Second Affiliated Hospital, Institute of Translational Medicine, Zhejiang University School of Medicine, 310029 Hangzhou, China.",China,Zhejiang University School of Medicine
110,,T,Liang,"Department of Cardiology, The Second Affiliated Hospital, Institute of Translational Medicine, Zhejiang University School of Medicine, 310029 Hangzhou, China.",China,Zhejiang University School of Medicine
111,,X,Dong,"Department of Cardiology, The Second Affiliated Hospital, Institute of Translational Medicine, Zhejiang University School of Medicine, 310029 Hangzhou, China.",China,Zhejiang University School of Medicine
112,,X,Cong,"State Key Laboratory of Cardiovascular Disease, Center of Laboratory Medicine, Fuwai Hospital, National Center for Cardiovascular Diseases, Chinese Academy of Medical Sciences and Peking Union Medical College, Beijing 100037, China.",China,Chinese Academy of Medical Sciences and Peking Union Medical College
113,,J,Chun,"Sanford Burnham Prebys Medical Discovery Institute, La Jolla, CA, 92037, United States.",United States,Sanford Burnham Prebys Medical Discovery Institute
114,,J,Chen,"Department of Cardiology, The Second Affiliated Hospital, Institute of Translational Medicine, Zhejiang University School of Medicine, 310029 Hangzhou, China.",China,Zhejiang University School of Medicine
115,,S,Hu,"State Key Laboratory of Cardiovascular Disease, Center of Laboratory Medicine, Fuwai Hospital, National Center for Cardiovascular Diseases, Chinese Academy of Medical Sciences and Peking Union Medical College, Beijing 100037, China.",China,Chinese Academy of Medical Sciences and Peking Union Medical College
116,,X,Chen,"State Key Laboratory of Cardiovascular Disease, Center of Laboratory Medicine, Fuwai Hospital, National Center for Cardiovascular Diseases, Chinese Academy of Medical Sciences and Peking Union Medical College, Beijing 100037, China.",China,Chinese Academy of Medical Sciences and Peking Union Medical College
117,,P,Reveglia,"Dipartimento di Medicina Clinica e Sperimentale, Università di Foggia, Plesso di Medicina Viale Luigi Pinto 1, 71122 Foggia, Italy.",Italy,Università di Foggia
118,,M,Masi,"Dipartimento di Scienze Chimiche, Università di Napoli Federico II, Complesso Universitario Monte S. Angelo, Via Cintia 4, 80126 Napoli, Italy.",Italy,Università di Napoli Federico II
119,,A,Evidente,"Dipartimento di Scienze Chimiche, Università di Napoli Federico II, Complesso Universitario Monte S. Angelo, Via Cintia 4, 80126 Napoli, Italy.",Italy,Università di Napoli Federico II
120,,MS,Bahn,"Division of Life Sciences, Korea University, Seoul, 02841, Korea.",Korea,Korea University
121,,DM,Yu,"Division of Life Sciences, Korea University, Seoul, 02841, Korea.",Korea,Korea University
122,,M,Lee,"Division of Life Sciences, Korea University, Seoul, 02841, Korea.",Korea,Korea University
123,,SJ,Jo,"Division of Life Sciences, Korea University, Seoul, 02841, Korea.",Korea,Korea University
124,,JW,Lee,"Division of Life Sciences, Korea University, Seoul, 02841, Korea.",Korea,Korea University
125,,HC,Kim,"Division of Life Sciences, Korea University, Seoul, 02841, Korea.",Korea,Korea University
126,,H,Lee,"Division of Life Sciences, Korea University, Seoul, 02841, Korea.",Korea,Korea University
127,,HL,Kim,"Laboratory of Electron Microscope, Integrative Research Support Center, College of Medicine, The Catholic University of Korea, Seoul, Korea.",Korea,The Catholic University of Korea
128,,A,Kim,"Division of Life Sciences, Korea University, Seoul, 02841, Korea.",Korea,Korea University
129,,JH,Hong,"Division of Life Sciences, Korea University, Seoul, 02841, Korea.",Korea,Korea University
130,,JS,Kim,"Division of Life Sciences, Korea University, Seoul, 02841, Korea.",Korea,Korea University
131,,SH,Koo,"Division of Life Sciences, Korea University, Seoul, 02841, Korea.",Korea,Korea University
132,,JS,Lee,"Research Center for Controlling Intercellular Communication, College of Medicine, Inha University, Incheon, 22212, Korea.",Korea,Inha University
133,,YG,Ko,"Division of Life Sciences, Korea University, Seoul, 02841, Korea. ygko@korea.ac.kr.",Korea,Korea University
134,,E,Khalkhal,"Proteomics Research Center, Faculty of Paramedical Sciences, Shahid Beheshti University of Medical Sciences, Tehran, Iran.",Iran,Shahid Beheshti University of Medical Sciences
135,,M,Rezaei-Tavirani,"Proteomics Research Center, Faculty of Paramedical Sciences, Shahid Beheshti University of Medical Sciences, Tehran, Iran.",Iran,Shahid Beheshti University of Medical Sciences
136,,F,Fathi,"Biochemistry Department, University of Wisconsin-Madison, Madison, WI 53706, USA.",USA,University of Wisconsin-Madison
137,,BF,Nobakht M Gh,"Chemical Injuries Research Center, Systems Biology and Poisoning Institute, Baqiyatallah University of Medical Sciences, Tehran, Iran.",Iran,Baqiyatallah University of Medical Sciences
138,,A,Taherkhani,"Research Center for Molecular Medicine, Hamadan University of Medical Sciences, Hamadan, Iran.",Iran,Hamadan University of Medical Sciences
139,,M,Rostami-Nejad,"Gastroenterology and Liver Diseases Research Center, Research Institute for Gastroenterology and Liver Diseases, Shahid Beheshti University of Medical Sciences, Tehran, Iran.",Iran,Shahid Beheshti University of Medical Sciences
140,,N,Asri,"Gastroenterology and Liver Diseases Research Center, Research Institute for Gastroenterology and Liver Diseases, Shahid Beheshti University of Medical Sciences, Tehran, Iran.",Iran,Shahid Beheshti University of Medical Sciences
141,,MH,Haidari,"Proteomics Research Center, Faculty of Paramedical Sciences, Shahid Beheshti University of Medical Sciences, Tehran, Iran.",Iran,Shahid Beheshti University of Medical Sciences
142,,K,Naseri,"School of Health and Biomedical Sciences, RMIT University, Melbourne, VIC, Australia.",Australia,RMIT University
143,,H,Dabiri,"Department of Microbiology, School of Medicine, Shahid Beheshti University of Medical Sciences, Tehran, Iran.",Iran,Shahid Beheshti University of Medical Sciences
144,,M,Olfatifar,"Gastroenterology and Hepatology Diseases Research Center, Qom University of Medical Sciences, Qom, Iran.",Iran,Qom University of Medical Sciences
145,,MA,Shahrbaf,"Celiac Disease Department, Gastroenterology and Liver Diseases Research Center, Research Institute for Gastroenterology and Liver Diseases, Shahid Beheshti University of Medical Sciences, Tehran, Iran.",Iran,Shahid Beheshti University of Medical Sciences
146,,A,Yadegar,"Foodborne and Waterborne Diseases Research Center, Research Institute for Gastroenterology and Liver Diseases, Shahid Beheshti University of Medical Sciences, Tehran, Iran.",Iran,Shahid Beheshti University of Medical Sciences
147,,M,Soheilian-Khorzoghi,"Celiac Disease Department, Gastroenterology and Liver Diseases Research Center, Research Institute for Gastroenterology and Liver Diseases, Shahid Beheshti University of Medical Sciences, Tehran, Iran.",Iran,Shahid Beheshti University of Medical Sciences
148,,A,Sadeghi,"Celiac Disease Department, Gastroenterology and Liver Diseases Research Center, Research Institute for Gastroenterology and Liver Diseases, Shahid Beheshti University of Medical Sciences, Tehran, Iran.",Iran,Shahid Beheshti University of Medical Sciences
149,,S,Saadati,"Celiac Disease Department, Gastroenterology and Liver Diseases Research Center, Research Institute for Gastroenterology and Liver Diseases, Shahid Beheshti University of Medical Sciences, Tehran, Iran.",Iran,Shahid Beheshti University of Medical Sciences
150,,M,Rostami-Nejad,"Celiac Disease Department, Gastroenterology and Liver Diseases Research Center, Research Institute for Gastroenterology and Liver Diseases, Shahid Beheshti University of Medical Sciences, Tehran, Iran. m.rostamii@gmail.com.",Iran,Shahid Beheshti University of Medical Sciences
151,,AK,Verma,"Celiac Disease Research Laboratory, Department of Pediatrics, Università Politecnica Delle Marche, 60123, Ancona, Italy.",Italy,Università Politecnica Delle Marche
152,,MR,Zali,"Celiac Disease Department, Gastroenterology and Liver Diseases Research Center, Research Institute for Gastroenterology and Liver Diseases, Shahid Beheshti University of Medical Sciences, Tehran, Iran.",Iran,Shahid Beheshti University of Medical Sciences
153,,N,Ramedani,"Department of Food Science and Technology, Science and Research Branch, Islamic Azad University, Tehran 9311634719, Iran.",Iran,Islamic Azad University
154,,A,Seidita,"Department of Health Promotion Sciences, Maternal and Infant Care, Internal Medicine and Medical Specialties (PROMISE), University of Palermo, 90127 Palermo, Italy.",Italy,University of Palermo
155,,N,Asri,"Gastroenterology and Liver Diseases Research Center, Research Institute for Gastroenterology and Liver Diseases, Shahid Beheshti University of Medical Sciences, Tehran 1985717411, Iran.",Iran,Shahid Beheshti University of Medical Sciences
156,,M,Azimirad,"Foodborne and Waterborne Diseases Research Center, Research Institute for Gastroenterology and Liver Diseases, Shahid Beheshti University of Medical Sciences, Tehran 1985717411, Iran.",Iran,Shahid Beheshti University of Medical Sciences
157,,A,Yadegar,"Foodborne and Waterborne Diseases Research Center, Research Institute for Gastroenterology and Liver Diseases, Shahid Beheshti University of Medical Sciences, Tehran 1985717411, Iran.",Iran,Shahid Beheshti University of Medical Sciences
158,,S,Jahani-Sherafat,"Laser Application in Medical Sciences Research Center, Shahid Beheshti University of Medical Sciences, Tehran 1416634793, Iran.",Iran,Shahid Beheshti University of Medical Sciences
159,,A,Sharifan,"Department of Food Science and Technology, Science and Research Branch, Islamic Azad University, Tehran 9311634719, Iran.",Iran,Islamic Azad University
160,,P,Mansueto,"Department of Health Promotion Sciences, Maternal and Infant Care, Internal Medicine and Medical Specialties (PROMISE), University of Palermo, 90127 Palermo, Italy.",Italy,University of Palermo
161,,A,Carroccio,"Department of Health Promotion Sciences, Maternal and Infant Care, Internal Medicine and Medical Specialties (PROMISE), University of Palermo, 90127 Palermo, Italy.",Italy,University of Palermo
162,,M,Rostami-Nejad,"Celiac Disease and Gluten Related Disorders Research Center, Research Institute for Gastroenterology and Liver Diseases, Shahid Beheshti University of Medical Sciences, Tehran 1985717411, Iran.",Iran,Shahid Beheshti University of Medical Sciences
163,,C,Scieuzo,"Spinoff XFlies s.r.l, University of Basilicata, via dell'Ateneo Lucano 10, 85100 Potenza, Italy.",Italy,University of Basilicata
164,,M,Nardiello,"Department of Sciences, University of Basilicata, via dell'Ateneo Lucano 10, 85100 Potenza, Italy.",Italy,University of Basilicata
165,,D,Farina,"Spinoff XFlies s.r.l, University of Basilicata, via dell'Ateneo Lucano 10, 85100 Potenza, Italy.",Italy,University of Basilicata
166,,A,Scala,"Department of Sciences, University of Basilicata, via dell'Ateneo Lucano 10, 85100 Potenza, Italy.",Italy,University of Basilicata
167,,JA,Cammack,"Department of Entomology, Texas A&M University, College Station, TX 77843, USA.",USA,Texas A&M University
168,,JK,Tomberlin,"Department of Entomology, Texas A&M University, College Station, TX 77843, USA.",USA,Texas A&M University
